car_id,Brand,Model,Year,Color,Mileage,Price
1,Toyota,Camry,2018,White,45000,18000
2,Honda,Civic,2019,Blue,35000,16000
3,Ford,Focus,2017,Silver,55000,14000
4,Chevrolet,Cruze,2016,Red,60000,12000
5,Hyundai,Elantra,2018,Black,40000,15000
6,Toyota,Corolla,2020,Gray,25000,19000
7,Honda,Accord,2019,White,30000,18000
8,Ford,Mustang,2015,Yellow,65000,22000
9,Chevrolet,Impala,2017,Black,55000,16000
10,Hyundai,Sonata,2016,Blue,50000,14000
11,Toyota,Rav4,2017,Gray,55000,19000
12,Honda,CR-V,2020,Red,30000,23000
13,Ford,Escape,2019,White,40000,21000
14,Chevrolet,Equinox,2018,Black,45000,18000
15,Hyundai,Kona,2019,Blue,35000,20000
16,Toyota,Highlander,2016,Silver,60000,25000
17,Honda,Pilot,2017,Gray,55000,24000
18,Ford,Explorer,2018,White,50000,23000
19,Chevrolet,Traverse,2020,Black,35000,28000
20,Hyundai,Santa Fe,2019,Red,40000,25000
21,Toyota,4Runner,2015,Silver,70000,27000
22,Honda,Odyssey,2016,White,55000,22000
23,Ford,Edge,2017,Blue,50000,21000
24,Chevrolet,Tahoe,2018,Black,45000,26000
25,Hyundai,Palisade,2019,Silver,30000,29000
26,Toyota,Sienna,2020,Red,35000,27000
27,Honda,Fit,2017,Gray,55000,12000
28,Ford,Fusion,2018,White,50000,15000
29,Chevrolet,Malibu,2019,Blue,40000,17000
30,Hyundai,Venue,2016,Silver,60000,14000
31,Toyota,Yaris,2017,Black,55000,12000
32,Honda,HR-V,2018,White,50000,15000
33,Ford,EcoSport,2019,Red,40000,17000
34,Chevrolet,Spark,2020,Blue,35000,14000
35,Hyundai,Accent,2015,Silver,70000,12000
36,Toyota,Prius,2016,Gray,55000,15000
37,Honda,Civic,2017,White,50000,17000
38,Ford,Fiesta,2018,Blue,40000,14000
39,Chevrolet,Cruze,2019,Black,45000,16000
40,Hyundai,Elantra,2020,Red,35000,18000
41,Toyota,Camry,2017,Silver,60000,19000
42,Honda,Accord,2018,White,50000,18000
43,Ford,Mustang,2019,Blue,40000,22000
44,Chevrolet,Camaro,2020,Red,35000,25000
45,Hyundai,Genesis,2015,Black,70000,18000
46,Toyota,Avalon,2016,Silver,55000,19000
47,Honda,Civic,2017,Gray,50000,17000
48,Ford,Fusion,2018,White,45000,16000
49,Chevrolet,Impala,2019,Blue,40000,18000
50,Hyundai,Sonata,2020,Red,35000,20000
51,Toyota,Corolla,2017,Silver,55000,19000
52,Honda,CR-V,2018,White,50000,23000
53,Ford,Escape,2019,Blue,40000,21000
54,Chevrolet,Equinox,2020,Black,35000,24000
55,Hyundai,Tucson,2015,Red,70000,20000
56,Toyota,Rav4,2016,Gray,55000,22000
57,Honda,Pilot,2017,White,50000,24000
58,Ford,Explorer,2018,Blue,45000,23000
59,Chevrolet,Traverse,2019,Black,40000,27000
60,Hyundai,Santa Fe,2020,Red,35000,25000
61,Toyota,4Runner,2015,Silver,70000,28000
62,Honda,Odyssey,2016,White,55000,22000
63,Ford,Edge,2017,Blue,50000,21000
64,Chevrolet,Tahoe,2018,Black,45000,26000
65,Hyundai,Palisade,2019,Silver,30000,29000
66,Toyota,Sienna,2020,Red,35000,27000
67,Honda,Fit,2017,Gray,55000,12000
68,Ford,Fusion,2018,White,50000,15000
69,Chevrolet,Malibu,2019,Blue,40000,17000
70,Hyundai,Venue,2016,Silver,60000,14000
71,Toyota,Yaris,2017,Black,55000,12000
72,Toyota,Camry,2017,White,45000,18000
73,Honda,Civic,2015,Blue,35000,16000
74,Toyota,Camry,2018,White,55000,14000
75,Honda,Civic,2016,Blue,60000,12000
76,Ford,Focus,2019,Silver,40000,15000
77,Chevrolet,Cruze,2015,Red,25000,19000
78,Hyundai,Elantra,2020,Black,30000,18000
79,Toyota,Corolla,2016,Gray,65000,22000
80,Honda,Accord,2015,White,55000,16000
81,Ford,Mustang,2020,Yellow,50000,14000
82,Chevrolet,Impala,2015,Black,55000,19000
83,Hyundai,Sonata,2020,Blue,30000,23000
84,Toyota,Rav5,2017,Gray,40000,21000
85,Honda,CR-V,2019,Red,45000,18000
86,Ford,Escape,2020,White,35000,20000
87,Chevrolet,Equinox,2019,Black,60000,25000
88,Hyundai,Kona,2017,Blue,55000,24000
89,Toyota,Highlander,2016,Silver,50000,23000
90,Honda,Pilot,2018,Gray,35000,28000
91,Ford,Explorer,2018,White,40000,25000
92,Chevrolet,Traverse,2016,Black,70000,27000
93,Hyundai,Santa Fe,2020,Red,55000,22000
94,Toyota,4Runner,2017,Silver,50000,21000
95,Honda,Odyssey,2017,White,45000,26000
96,Ford,Edge,2019,Blue,30000,29000
97,Chevrolet,Tahoe,2018,Black,35000,27000
98,Hyundai,Palisade,2018,Silver,55000,12000
99,Toyota,Sienna,2019,Red,50000,15000
100,Honda,Fit,2017,Gray,40000,17000
101,Ford,Fusion,2015,White,60000,14000
102,Chevrolet,Malibu,2016,Blue,55000,12000
103,Hyundai,Venue,2018,Silver,50000,15000
104,Toyota,Yaris,2018,Black,40000,17000
105,Honda,HR-V,2016,White,35000,14000
106,Ford,EcoSport,2017,Red,70000,12000
107,Chevrolet,Spark,2017,Blue,55000,15000
108,Hyundai,Accent,2019,Silver,50000,17000
109,Toyota,Prius,2017,Gray,40000,14000
110,Honda,Civic,2015,White,45000,16000
111,Ford,Fiesta,2019,Blue,35000,18000
112,Chevrolet,Cruze,2018,Black,60000,19000
113,Hyundai,Elantra,2016,Red,50000,18000
114,Toyota,Camry,2019,Silver,40000,22000
115,Honda,Accord,2020,White,35000,25000
116,Ford,Mustang,2020,Blue,70000,18000
117,Chevrolet,Camaro,2019,Red,55000,19000
118,Hyundai,Genesis,2017,Black,50000,17000
119,Toyota,Avalon,2015,Silver,45000,16000
120,Honda,Civic,2015,Gray,40000,18000
121,Ford,Fusion,2015,White,35000,20000
122,Chevrolet,Impala,2020,Blue,55000,19000
123,Hyundai,Sonata,2017,Red,50000,23000
124,Toyota,Corolla,2017,Silver,40000,21000
125,Honda,CR-V,2018,White,35000,24000
126,Ford,Escape,2019,Blue,70000,20000
127,Chevrolet,Equinox,2015,Black,55000,22000
128,Hyundai,Tucson,2019,Red,50000,24000
129,Toyota,Rav5,2015,Gray,45000,23000
130,Honda,Pilot,2016,White,40000,27000
131,Ford,Explorer,2015,Blue,35000,25000
132,Chevrolet,Traverse,2017,Black,70000,28000
133,Hyundai,Santa Fe,2018,Red,55000,22000
134,Toyota,4Runner,2017,Silver,50000,21000
135,Honda,Odyssey,2016,White,45000,26000
136,Ford,Edge,2019,Blue,30000,29000
137,Chevrolet,Tahoe,2016,Black,35000,27000
138,Hyundai,Palisade,2020,Silver,55000,12000
139,Toyota,Sienna,2020,Red,50000,15000
140,Honda,Fit,2018,Gray,40000,17000
141,Ford,Fusion,2018,White,60000,14000
142,Chevrolet,Malibu,2019,Blue,55000,12000
143,Hyundai,Venue,2015,Silver,45000,18000
144,Toyota,Yaris,2018,Black,35000,16000
145,Toyota,Camry,2018,White,55000,14000
146,Honda,Civic,2016,Blue,60000,12000
147,Toyota,Camry,2016,White,40000,15000
148,Honda,Civic,2016,Blue,25000,19000
149,Ford,Focus,2016,Silver,30000,18000
150,Chevrolet,Cruze,2018,Red,65000,22000
151,Hyundai,Elantra,2017,Black,55000,16000
152,Toyota,Corolla,2019,Gray,50000,14000
153,Honda,Accord,2017,White,55000,19000
154,Ford,Mustang,2017,Yellow,30000,23000
155,Chevrolet,Impala,2015,Black,40000,21000
156,Hyundai,Sonata,2017,Blue,45000,18000
157,Toyota,Rav6,2015,Gray,35000,20000
158,Honda,CR-V,2020,Red,60000,25000
159,Ford,Escape,2019,White,55000,24000
160,Chevrolet,Equinox,2015,Black,50000,23000
161,Hyundai,Kona,2020,Blue,35000,28000
162,Toyota,Highlander,2020,Silver,40000,25000
163,Honda,Pilot,2018,Gray,70000,27000
164,Ford,Explorer,2015,White,55000,22000
165,Chevrolet,Traverse,2017,Black,50000,21000
166,Hyundai,Santa Fe,2019,Red,45000,26000
167,Toyota,4Runner,2019,Silver,30000,29000
168,Honda,Odyssey,2016,White,35000,27000
169,Ford,Edge,2019,Blue,55000,12000
170,Chevrolet,Tahoe,2015,Black,50000,15000
171,Hyundai,Palisade,2016,Silver,40000,17000
172,Toyota,Sienna,2019,Red,60000,14000
173,Honda,Fit,2020,Gray,55000,12000
174,Ford,Fusion,2019,White,50000,15000
175,Chevrolet,Malibu,2016,Blue,40000,17000
176,Hyundai,Venue,2015,Silver,35000,14000
177,Toyota,Yaris,2018,Black,70000,12000
178,Honda,HR-V,2017,White,55000,15000
179,Ford,EcoSport,2016,Red,50000,17000
180,Chevrolet,Spark,2016,Blue,40000,14000
181,Hyundai,Accent,2016,Silver,45000,16000
182,Toyota,Prius,2019,Gray,35000,18000
183,Honda,Civic,2015,White,60000,19000
184,Ford,Fiesta,2018,Blue,50000,18000
185,Chevrolet,Cruze,2015,Black,40000,22000
186,Hyundai,Elantra,2015,Red,35000,25000
187,Toyota,Camry,2020,Silver,70000,18000
188,Honda,Accord,2016,White,55000,19000
189,Ford,Mustang,2016,Blue,50000,17000
190,Chevrolet,Camaro,2020,Red,45000,16000
191,Hyundai,Genesis,2020,Black,40000,18000
192,Toyota,Avalon,2019,Silver,35000,20000
193,Honda,Civic,2015,Gray,55000,19000
194,Ford,Fusion,2020,White,50000,23000
195,Chevrolet,Impala,2016,Blue,40000,21000
196,Hyundai,Sonata,2016,Red,35000,24000
197,Toyota,Corolla,2020,Silver,70000,20000
198,Honda,CR-V,2015,White,55000,22000
199,Ford,Escape,2019,Blue,50000,24000
200,Chevrolet,Equinox,2019,Black,45000,23000
201,Hyundai,Tucson,2015,Red,40000,27000
202,Toyota,Rav6,2016,Gray,35000,25000
203,Honda,Pilot,2016,White,70000,28000
204,Ford,Explorer,2019,Blue,55000,22000
205,Chevrolet,Traverse,2017,Black,50000,21000
206,Hyundai,Santa Fe,2017,Red,45000,26000
207,Toyota,4Runner,2018,Silver,30000,29000
208,Honda,Odyssey,2015,White,35000,27000
209,Ford,Edge,2019,Blue,55000,12000
210,Chevrolet,Tahoe,2018,Black,50000,15000
211,Hyundai,Palisade,2016,Silver,40000,17000
212,Toyota,Sienna,2018,Red,60000,14000
213,Honda,Fit,2019,Gray,55000,12000
214,Ford,Fusion,2017,White,45000,18000
215,Chevrolet,Malibu,2015,Blue,35000,16000
216,Hyundai,Venue,2016,Silver,55000,14000
217,Toyota,Yaris,2015,Black,60000,12000
218,Toyota,Camry,2017,White,40000,15000
219,Honda,Civic,2015,Blue,25000,19000
220,Toyota,Camry,2020,White,30000,18000
221,Honda,Civic,2019,Blue,65000,22000
222,Ford,Focus,2019,Silver,55000,16000
223,Chevrolet,Cruze,2018,Red,50000,14000
224,Hyundai,Elantra,2016,Black,55000,19000
225,Toyota,Corolla,2018,Gray,30000,23000
226,Honda,Accord,2016,White,40000,21000
227,Ford,Mustang,2015,Yellow,45000,18000
228,Chevrolet,Impala,2018,Black,35000,20000
229,Hyundai,Sonata,2015,Blue,60000,25000
230,Toyota,Rav7,2016,Gray,55000,24000
231,Honda,CR-V,2019,Red,50000,23000
232,Ford,Escape,2015,White,35000,28000
233,Chevrolet,Equinox,2020,Black,40000,25000
234,Hyundai,Kona,2018,Blue,70000,27000
235,Toyota,Highlander,2020,Silver,55000,22000
236,Honda,Pilot,2020,Gray,50000,21000
237,Ford,Explorer,2019,White,45000,26000
238,Chevrolet,Traverse,2018,Black,30000,29000
239,Hyundai,Santa Fe,2016,Red,35000,27000
240,Toyota,4Runner,2018,Silver,55000,12000
241,Honda,Odyssey,2017,White,50000,15000
242,Ford,Edge,2015,Blue,40000,17000
243,Chevrolet,Tahoe,2018,Black,60000,14000
244,Hyundai,Palisade,2015,Silver,55000,12000
245,Toyota,Sienna,2016,Red,50000,15000
246,Honda,Fit,2020,Gray,40000,17000
247,Ford,Fusion,2019,White,35000,14000
248,Chevrolet,Malibu,2017,Blue,70000,12000
249,Hyundai,Venue,2019,Silver,55000,15000
250,Toyota,Yaris,2017,Black,50000,17000
251,Honda,HR-V,2020,White,40000,14000
252,Ford,EcoSport,2017,Red,45000,16000
253,Chevrolet,Spark,2015,Blue,35000,18000
254,Hyundai,Accent,2015,Silver,60000,19000
255,Toyota,Prius,2017,Gray,50000,18000
256,Honda,Civic,2020,White,40000,22000
257,Ford,Fiesta,2017,Blue,35000,25000
258,Chevrolet,Cruze,2020,Black,70000,18000
259,Hyundai,Elantra,2018,Red,55000,19000
260,Toyota,Camry,2015,Silver,50000,17000
261,Honda,Accord,2020,White,45000,16000
262,Ford,Mustang,2015,Blue,40000,18000
263,Chevrolet,Camaro,2016,Red,35000,20000
264,Hyundai,Genesis,2020,Black,55000,19000
265,Toyota,Avalon,2016,Silver,50000,23000
266,Honda,Civic,2019,Gray,40000,21000
267,Ford,Fusion,2017,White,35000,24000
268,Chevrolet,Impala,2019,Blue,70000,20000
269,Hyundai,Sonata,2015,Red,55000,22000
270,Toyota,Corolla,2018,Silver,50000,24000
271,Honda,CR-V,2018,White,45000,23000
272,Ford,Escape,2019,Blue,40000,27000
273,Chevrolet,Equinox,2018,Black,35000,25000
274,Hyundai,Tucson,2015,Red,70000,28000
275,Toyota,Rav7,2019,Gray,55000,22000
276,Honda,Pilot,2019,White,50000,21000
277,Ford,Explorer,2017,Blue,45000,26000
278,Chevrolet,Traverse,2017,Black,30000,29000
279,Hyundai,Santa Fe,2018,Red,35000,27000
280,Toyota,4Runner,2017,Silver,55000,12000
281,Honda,Odyssey,2015,White,50000,15000
282,Ford,Edge,2020,Blue,40000,17000
283,Chevrolet,Tahoe,2019,Black,60000,14000
284,Hyundai,Palisade,2017,Silver,55000,12000
285,Toyota,Sienna,2016,Red,45000,18000
286,Honda,Fit,2017,Gray,35000,16000
287,Ford,Fusion,2019,White,55000,14000
288,Chevrolet,Malibu,2020,Blue,60000,12000
289,Hyundai,Venue,2018,Silver,40000,15000
290,Toyota,Yaris,2019,Black,25000,19000
291,Toyota,Camry,2018,White,30000,18000
292,Honda,Civic,2015,Blue,65000,22000
293,Toyota,Camry,2015,White,55000,16000
294,Honda,Civic,2019,Blue,50000,14000
295,Ford,Focus,2016,Silver,55000,19000
296,Chevrolet,Cruze,2015,Red,30000,23000
297,Hyundai,Elantra,2019,Black,40000,21000
298,Toyota,Corolla,2016,Gray,45000,18000
299,Honda,Accord,2020,White,35000,20000
300,Ford,Mustang,2019,Yellow,60000,25000
301,Chevrolet,Impala,2017,Black,55000,24000
302,Hyundai,Sonata,2019,Blue,50000,23000
303,Toyota,Rav8,2019,Gray,35000,28000
304,Honda,CR-V,2017,Red,40000,25000
305,Ford,Escape,2016,White,70000,27000
306,Chevrolet,Equinox,2016,Black,55000,22000
307,Hyundai,Kona,2016,Blue,50000,21000
308,Toyota,Highlander,2017,Silver,45000,26000
309,Honda,Pilot,2018,Gray,30000,29000
310,Ford,Explorer,2016,White,35000,27000
311,Chevrolet,Traverse,2018,Black,55000,12000
312,Hyundai,Santa Fe,2019,Red,50000,15000
313,Toyota,4Runner,2017,Silver,40000,17000
314,Honda,Odyssey,2016,White,60000,14000
315,Ford,Edge,2020,Blue,55000,12000
316,Chevrolet,Tahoe,2017,Black,50000,15000
317,Hyundai,Palisade,2015,Silver,40000,17000
318,Toyota,Sienna,2019,Red,35000,14000
319,Honda,Fit,2020,Gray,70000,12000
320,Ford,Fusion,2020,White,55000,15000
321,Chevrolet,Malibu,2019,Blue,50000,17000
322,Hyundai,Venue,2018,Silver,40000,14000
323,Toyota,Yaris,2019,Black,45000,16000
324,Honda,HR-V,2017,White,35000,18000
325,Ford,EcoSport,2020,Red,60000,19000
326,Chevrolet,Spark,2017,Blue,50000,18000
327,Hyundai,Accent,2017,Silver,40000,22000
328,Toyota,Prius,2016,Gray,35000,25000
329,Honda,Civic,2015,White,70000,18000
330,Ford,Fiesta,2020,Blue,55000,19000
331,Chevrolet,Cruze,2015,Black,50000,17000
332,Hyundai,Elantra,2016,Red,45000,16000
333,Toyota,Camry,2018,Silver,40000,18000
334,Honda,Accord,2018,White,35000,20000
335,Ford,Mustang,2019,Blue,55000,19000
336,Chevrolet,Camaro,2019,Red,50000,23000
337,Hyundai,Genesis,2015,Black,40000,21000
338,Toyota,Avalon,2019,Silver,35000,24000
339,Honda,Civic,2016,Gray,70000,20000
340,Ford,Fusion,2018,White,55000,22000
341,Chevrolet,Impala,2017,Blue,50000,24000
342,Hyundai,Sonata,2020,Red,45000,23000
343,Toyota,Corolla,2020,Silver,40000,27000
344,Honda,CR-V,2020,White,35000,25000
345,Ford,Escape,2015,Blue,70000,28000
346,Chevrolet,Equinox,2020,Black,55000,22000
347,Hyundai,Tucson,2017,Red,50000,21000
348,Toyota,Rav8,2016,Gray,45000,26000
349,Honda,Pilot,2018,White,30000,29000
350,Ford,Explorer,2017,Blue,35000,27000
351,Chevrolet,Traverse,2019,Black,55000,12000
352,Hyundai,Santa Fe,2017,Red,50000,15000
353,Toyota,4Runner,2016,Silver,40000,17000
354,Honda,Odyssey,2015,White,60000,14000
355,Ford,Edge,2019,Blue,55000,12000
356,Chevrolet,Tahoe,2016,Black,45000,18000
357,Hyundai,Palisade,2015,Silver,35000,16000
358,Toyota,Sienna,2016,Red,55000,14000
359,Honda,Fit,2019,Gray,60000,12000
360,Ford,Fusion,2020,White,40000,15000
361,Chevrolet,Malibu,2015,Blue,25000,19000
362,Hyundai,Venue,2016,Silver,30000,18000
363,Toyota,Yaris,2015,Black,65000,22000
364,Toyota,Camry,2020,White,55000,16000
365,Honda,Civic,2015,Blue,50000,14000
366,Toyota,Camry,2020,White,55000,19000
367,Honda,Civic,2015,Blue,30000,23000
368,Ford,Focus,2016,Silver,40000,21000
369,Chevrolet,Cruze,2019,Red,45000,18000
370,Hyundai,Elantra,2017,Black,35000,20000
371,Toyota,Corolla,2018,Gray,60000,25000
372,Honda,Accord,2018,White,55000,24000
373,Ford,Mustang,2015,Yellow,50000,23000
374,Chevrolet,Impala,2017,Black,35000,28000
375,Hyundai,Sonata,2018,Blue,40000,25000
376,Toyota,Rav9,2015,Gray,70000,27000
377,Honda,CR-V,2018,Red,55000,22000
378,Ford,Escape,2015,White,50000,21000
379,Chevrolet,Equinox,2018,Black,45000,26000
380,Hyundai,Kona,2019,Blue,30000,29000
381,Toyota,Highlander,2019,Silver,35000,27000
382,Honda,Pilot,2017,Gray,55000,12000
383,Ford,Explorer,2016,White,50000,15000
384,Chevrolet,Traverse,2020,Black,40000,17000
385,Hyundai,Santa Fe,2019,Red,60000,14000
386,Toyota,4Runner,2015,Silver,55000,12000
387,Honda,Odyssey,2015,White,50000,15000
388,Ford,Edge,2018,Blue,40000,17000
389,Chevrolet,Tahoe,2017,Black,35000,14000
390,Hyundai,Palisade,2020,Silver,70000,12000
391,Toyota,Sienna,2016,Red,55000,15000
392,Honda,Fit,2020,Gray,50000,17000
393,Ford,Fusion,2019,White,40000,14000
394,Chevrolet,Malibu,2015,Blue,45000,16000
395,Hyundai,Venue,2019,Silver,35000,18000
396,Toyota,Yaris,2017,Black,60000,19000
397,Honda,HR-V,2018,White,50000,18000
398,Ford,EcoSport,2016,Red,40000,22000
399,Chevrolet,Spark,2015,Blue,35000,25000
400,Hyundai,Accent,2017,Silver,70000,18000
401,Toyota,Prius,2015,Gray,55000,19000
402,Honda,Civic,2017,White,50000,17000
403,Ford,Fiesta,2017,Blue,45000,16000
404,Chevrolet,Cruze,2017,Black,40000,18000
405,Hyundai,Elantra,2020,Red,35000,20000
406,Toyota,Camry,2018,Silver,55000,19000
407,Honda,Accord,2016,White,50000,23000
408,Ford,Mustang,2015,Blue,40000,21000
409,Chevrolet,Camaro,2017,Red,35000,24000
410,Hyundai,Genesis,2015,Black,70000,20000
411,Toyota,Avalon,2018,Silver,55000,22000
412,Honda,Civic,2020,Gray,50000,24000
413,Ford,Fusion,2019,White,45000,23000
414,Chevrolet,Impala,2015,Blue,40000,27000
415,Hyundai,Sonata,2015,Red,35000,25000
416,Toyota,Corolla,2016,Silver,70000,28000
417,Honda,CR-V,2015,White,55000,22000
418,Ford,Escape,2015,Blue,50000,21000
419,Chevrolet,Equinox,2017,Black,45000,26000
420,Hyundai,Tucson,2016,Red,30000,29000
421,Toyota,Rav9,2018,Gray,35000,27000
422,Honda,Pilot,2019,White,55000,12000
423,Ford,Explorer,2019,Blue,50000,15000
424,Chevrolet,Traverse,2020,Black,40000,17000
425,Hyundai,Santa Fe,2020,Red,60000,14000
426,Toyota,4Runner,2016,Silver,55000,12000
427,Honda,Odyssey,2019,White,45000,18000
428,Ford,Edge,2015,Blue,35000,16000
429,Chevrolet,Tahoe,2016,Black,55000,14000
430,Hyundai,Palisade,2015,Silver,60000,12000
431,Toyota,Sienna,2017,Red,40000,15000
432,Honda,Fit,2016,Gray,25000,19000
433,Ford,Fusion,2016,White,30000,18000
434,Chevrolet,Malibu,2018,Blue,65000,22000
435,Hyundai,Venue,2015,Silver,55000,16000
436,Toyota,Yaris,2018,Black,50000,14000
437,Toyota,Camry,2016,White,55000,19000
438,Honda,Civic,2017,Blue,30000,23000
439,Toyota,Camry,2019,White,40000,21000
440,Honda,Civic,2016,Blue,45000,18000
441,Ford,Focus,2019,Silver,35000,20000
442,Chevrolet,Cruze,2017,Red,60000,25000
443,Hyundai,Elantra,2019,Black,55000,24000
444,Toyota,Corolla,2015,Gray,50000,23000
445,Honda,Accord,2015,White,35000,28000
446,Ford,Mustang,2016,Yellow,40000,25000
447,Chevrolet,Impala,2018,Black,70000,27000
448,Hyundai,Sonata,2020,Blue,55000,22000
449,Toyota,Rav10,2019,Gray,50000,21000
450,Honda,CR-V,2018,Red,45000,26000
451,Ford,Escape,2020,White,30000,29000
452,Chevrolet,Equinox,2015,Black,35000,27000
453,Hyundai,Kona,2016,Blue,55000,12000
454,Toyota,Highlander,2015,Silver,50000,15000
455,Honda,Pilot,2020,Gray,40000,17000
456,Ford,Explorer,2015,White,60000,14000
457,Chevrolet,Traverse,2019,Black,55000,12000
458,Hyundai,Santa Fe,2018,Red,50000,15000
459,Toyota,4Runner,2016,Silver,40000,17000
460,Honda,Odyssey,2018,White,35000,14000
461,Ford,Edge,2015,Blue,70000,12000
462,Chevrolet,Tahoe,2015,Black,55000,15000
463,Hyundai,Palisade,2020,Silver,50000,17000
464,Toyota,Sienna,2015,Red,40000,14000
465,Honda,Fit,2017,Gray,45000,16000
466,Ford,Fusion,2019,White,35000,18000
467,Chevrolet,Malibu,2018,Blue,60000,19000
468,Hyundai,Venue,2016,Silver,50000,18000
469,Toyota,Yaris,2017,Black,40000,22000
470,Honda,HR-V,2018,White,35000,25000
471,Ford,EcoSport,2020,Red,70000,18000
472,Chevrolet,Spark,2018,Blue,55000,19000
473,Hyundai,Accent,2018,Silver,50000,17000
474,Toyota,Prius,2015,Gray,45000,16000
475,Honda,Civic,2016,White,40000,18000
476,Ford,Fiesta,2017,Blue,35000,20000
477,Chevrolet,Cruze,2019,Black,55000,19000
478,Hyundai,Elantra,2017,Red,50000,23000
479,Toyota,Camry,2020,Silver,40000,21000
480,Honda,Accord,2019,White,35000,24000
481,Ford,Mustang,2016,Blue,70000,20000
482,Chevrolet,Camaro,2016,Red,55000,22000
483,Hyundai,Genesis,2015,Black,50000,24000
484,Toyota,Avalon,2017,Silver,45000,23000
485,Honda,Civic,2018,Gray,40000,27000
486,Ford,Fusion,2020,White,35000,25000
487,Chevrolet,Impala,2016,Blue,70000,28000
488,Hyundai,Sonata,2020,Red,55000,22000
489,Toyota,Corolla,2017,Silver,50000,21000
490,Honda,CR-V,2018,White,45000,26000
491,Ford,Escape,2016,Blue,30000,29000
492,Chevrolet,Equinox,2015,Black,35000,27000
493,Hyundai,Tucson,2015,Red,55000,12000
494,Toyota,Rav10,2019,Gray,50000,15000
495,Honda,Pilot,2018,White,40000,17000
496,Ford,Explorer,2020,Blue,60000,14000
497,Chevrolet,Traverse,2015,Black,55000,12000
498,Hyundai,Santa Fe,2017,Red,45000,18000
499,Toyota,4Runner,2020,Silver,35000,16000
500,Honda,Odyssey,2018,White,55000,14000
501,Ford,Edge,2015,Blue,60000,12000
502,Chevrolet,Tahoe,2018,Black,40000,15000
503,Hyundai,Palisade,2017,Silver,25000,19000
504,Toyota,Sienna,2020,Red,30000,18000
505,Honda,Fit,2018,Gray,65000,22000
506,Ford,Fusion,2017,White,55000,16000
507,Chevrolet,Malibu,2017,Blue,50000,14000
